"","k","m","n","ARL","H"
"75",0.05,200,25,505.9797,2.482386704
"36",0.05,150,5,386.0794,2.451161714
"83",0.1,125,15,238.0877,2.495469645
"149",0.1,200,20,523.0798,3.077382654
"225",0.2,200,25,518.5246,3.5775
"126",0.1,100,5,505.7537,2.995653299
"167",0.2,175,10,249.1101,3.20961
"9",0.05,125,20,248.1943,1.998399359
"71",0.05,200,5,502.2992,2.691594137
"48",0.05,200,15,362.7105,2.357486744
"77",0.1,100,10,244.2448,2.508546342
"96",0.1,200,5,268.255,2.822387066
"56",0.05,125,5,494.1538,2.547959183
"193",0.2,175,15,351.4783,3.393
"68",0.05,175,15,474.6216,2.529224189
"1",0.05,100,5,239.3236,2.078959834
"40",0.05,150,25,359.8818,2.185749299
"145",0.1,175,25,496.9011,2.941167062
"196",0.2,200,5,377.1828,3.66
"114",0.1,150,20,358.9535,2.735209087
"132",0.1,125,10,500.293,2.981486877
"95",0.1,175,25,265.5382,2.577199
"20",0.05,175,25,243.2818,2.076461834
"144",0.1,175,20,511.5777,3.006550546
"173",0.2,200,15,258.4459,3.201
"151",0.2,100,5,253.6463,3.135
"150",0.1,200,25,515.1383,3.01199917
"49",0.05,200,20,370.6546,2.326261754
"133",0.1,125,15,492.3583,2.898667797
"59",0.05,125,20,488.6901,2.310649259
"11",0.05,150,5,255.8457,2.232586784
"206",0.2,125,5,494.4062,3.6958785
"8",0.05,125,15,254.2618,2.076461834
"130",0.1,100,25,511.8863,2.604442119
"100",0.1,200,25,253.5108,2.615339366
"45",0.05,175,25,366.3932,2.263811774
"2",0.05,100,10,257.8872,2.045236844
"211",0.2,150,5,487.6976,3.772758
"154",0.2,100,20,233.5417,2.805
"65",0.05,150,25,532.5117,2.357486744
"162",0.2,150,10,233.8923,3.117
"57",0.05,125,10,495.1521,2.482386704
"66",0.05,175,5,521.2315,2.685349139
"44",0.05,175,20,372.8639,2.326261754
"101",0.1,100,5,375.5191,2.822387066
"131",0.1,125,5,509.3326,3.067575132
"175",0.2,200,25,254.7664,3.132
"216",0.2,175,5,507.5348,3.8496375
"80",0.1,100,25,262.0435,2.288421945
"146",0.1,200,5,530.6445,3.25827696
"33",0.05,125,15,381.4652,2.295036764
"82",0.1,125,10,250.6829,2.580468175
"47",0.05,200,10,374.1655,2.466774209
