k,m,n,ARL,H
0.1,125,25,514.8424,2.72431184
0.1,150,5,503.3853,3.25827696
0.1,150,10,521.5241,3.035973114
0.1,150,15,503.6357,2.927000641
0.1,150,20,521.5868,2.861617156
0.1,150,25,519.507,2.822387066
0.1,175,5,496.5269,3.312763197
0.1,175,10,510.8895,3.079562104
0.1,175,15,491.4197,2.97058963
0.1,175,20,497.4402,2.927000641
0.1,175,25,495.7267,2.876873303
0.1,200,5,499.5081,3.367249434
0.1,200,10,516.5795,3.123151093
0.1,200,15,495.2291,3.014178619
0.1,200,20,508.5115,2.992384125
0.1,200,25,483.7146,2.93135954
0.2,100,5,246.6062,3.187125
0.2,100,10,266.2079,2.955
0.2,100,15,262.6207,2.88
0.2,100,20,240.0812,2.7525
0.2,100,25,256.4736,2.7114
0.2,125,5,262.8773,3.357
0.2,125,10,241.2186,2.9925
0.2,125,15,264.7349,3
0.2,125,20,236.3879,2.868
0.2,125,25,238.0854,2.8125
0.2,150,5,238.212,3.3675
0.2,150,10,256.2312,3.135
0.2,150,15,237.272,3
0.2,150,20,249.4144,2.9625
0.2,150,25,242.4029,2.925
0.2,175,5,261.5038,3.528
0.2,175,10,256.1286,3.196905
0.2,175,15,248.4266,3.075
0.2,175,20,232.7492,3.0015
0.2,175,25,251.5009,3
0.2,200,5,253.1259,3.5385
0.2,200,10,272.7501,3.3
0.2,200,15,235.8161,3.0975
0.2,200,20,243.9067,3.075
0.2,200,25,247.694,3.045
0.2,100,5,355.7278,3.465
0.2,100,10,361.5792,3.144
0.2,100,15,378.2806,3.075
0.2,100,20,371.2498,3
0.2,100,25,372.4476,2.925
0.2,125,5,380.3356,3.6525
0.2,125,10,381.07,3.3
0.2,125,15,366.3896,3.165
0.2,125,20,375.3852,3.12
0.2,125,25,354.8092,3.0375
0.2,150,5,364.3208,3.709425
0.2,150,10,379.4509,3.4095
0.2,150,15,358.8945,3.27
0.2,150,20,370.7583,3.225
0.2,150,25,368.4189,3.15
0.2,175,5,370.6953,3.823125
0.2,175,10,360.7315,3.45
0.2,175,15,364.9024,3.33
0.2,175,20,381.2076,3.3
0.2,175,25,358.526,3.225
0.2,200,5,367.0349,3.88005
0.2,200,10,384.9566,3.5595
0.2,200,15,371.798,3.435
0.2,200,20,367.5676,3.3255
0.2,200,25,366.9428,3.27
0.2,100,5,512.804,3.7635
0.2,100,10,496.0631,3.356475
0.2,100,15,518.2872,3.2562
0.2,100,20,516.6943,3.18
0.2,100,25,492.0468,3.075
0.2,125,5,504.0357,3.9
0.2,125,10,480.9211,3.48
0.2,125,15,507.6409,3.3855
0.2,125,20,528.6816,3.33
0.2,125,25,488.8548,3.225
0.2,150,5,510.0023,4.038
0.2,150,10,497.5991,3.6
0.2,150,15,514.0755,3.48
0.2,150,20,481.0771,3.375
0.2,150,25,489.6872,3.33
0.2,175,5,509.9044,4.11
0.2,175,10,509.7173,3.723525
0.2,175,15,477.6842,3.51
0.2,175,20,508.669,3.48
0.2,175,25,491.68,3.42
0.2,200,5,505.7405,4.2
0.2,200,10,519.6014,3.828
0.2,200,15,486.1666,3.6045
0.2,200,20,498.4864,3.525
0.2,200,25,483.4621,3.4725
